time,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6,Temp7,Temp8,Temp9,Temp10,cond1_off,c1_16h,c1_16l,c1_23h,c1_23l,c1_30h,c1_30l,cond2_off,c2_16h,c2_16l,c2_23h,c2_23l,c2_30h,c2_30l
11.06.2019 16:11,23,23,23,23,24,23,23,24,24,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11.06.2019 16:31,23,23,23,24,24,23,23,25,24,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 16:51,23,24,24,24,25,24,24,25,25,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1
11.06.2019 17:11,23,24,24,25,25,24,24,25,25,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 17:31,22,24,25,25,25,24,24,25,25,25,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11.06.2019 17:51,22,24,24,25,25,24,24,25,25,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11.06.2019 18:11,22,24,24,25,25,24,24,25,25,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11.06.2019 18:31,22,24,24,25,25,24,24,26,26,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11.06.2019 18:51,21,26,25,26,27,26,26,26,26,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11.06.2019 19:11,22,25,26,25,27,25,25,24,24,25,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11.06.2019 19:31,22,23,24,23,24,23,23,26,25,24,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11.06.2019 19:51,22,23,25,24,26,24,25,24,23,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.06.2019 20:11,23,23,23,23,24,23,23,24,23,23,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11.06.2019 20:31,22,22,23,23,24,22,23,23,23,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.06.2019 20:51,22,22,22,23,23,23,22,24,23,23,0,0,1,0,0,0,0,1,0,0,0,0,0,0
11.06.2019 21:11,23,22,23,23,24,23,23,24,23,23,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11.06.2019 21:31,22,22,23,22,23,22,23,23,22,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11.06.2019 21:51,22,22,22,22,23,22,22,23,23,22,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11.06.2019 22:11,22,21,22,22,23,22,22,23,22,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11.06.2019 22:31,22,22,22,22,22,22,22,23,23,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11.06.2019 22:51,22,22,22,22,23,22,22,23,23,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11.06.2019 23:11,23,22,23,22,23,22,22,23,22,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11.06.2019 23:31,23,21,22,21,22,22,22,22,22,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11.06.2019 23:51,22,21,21,21,22,21,21,22,22,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.06.2019 0:11,22,21,21,22,21,21,21,23,22,22,0,1,0,0,0,0,0,1,0,0,0,0,0,0
12.06.2019 0:31,22,21,22,22,22,22,22,23,22,23,0,1,0,0,0,0,0,0,0,0,0,0,1,0
12.06.2019 0:51,23,22,22,22,22,22,22,23,22,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12.06.2019 1:11,23,22,22,22,23,22,22,23,22,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12.06.2019 1:31,23,22,22,22,23,22,22,23,23,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0
12.06.2019 1:51,23,22,22,22,23,22,22,23,23,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0
12.06.2019 2:11,24,21,22,22,23,22,22,23,22,22,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12.06.2019 2:31,24,21,22,21,22,21,22,22,22,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.06.2019 2:51,24,21,21,21,22,21,21,22,22,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12.06.2019 3:11,25,20,21,21,21,21,21,22,21,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.06.2019 3:31,25,21,21,22,21,21,21,-1,22,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0
12.06.2019 3:51,25,21,22,22,22,21,22,22,22,22,0,0,0,0,0,0,1,0,0,0,0,0,1,0
12.06.2019 4:11,26,21,21,22,22,21,21,22,22,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.06.2019 4:31,25,22,22,22,22,22,21,23,22,22,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12.06.2019 4:51,25,22,22,22,22,22,22,23,22,23,0,0,0,0,0,1,0,0,0,0,1,0,0,0
12.06.2019 5:11,25,22,22,22,22,22,22,23,22,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0
12.06.2019 18:26,25,24,25,25,26,24,24,25,25,25,0,0,0,0,1,0,0,0,1,0,0,0,0,0
12.06.2019 18:46,24,24,25,25,25,24,24,25,25,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.06.2019 19:06,24,24,24,24,25,24,24,25,24,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0
12.06.2019 19:26,24,24,24,24,25,24,24,25,24,25,0,0,0,0,1,0,0,0,0,0,0,0,1,0
12.06.2019 19:47,25,24,24,24,25,24,24,25,24,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.06.2019 20:07,25,24,24,25,25,24,24,25,25,25,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12.06.2019 20:27,25,24,24,25,25,24,24,25,25,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12.06.2019 20:47,22,24,25,25,25,24,24,25,25,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12.06.2019 21:07,22,25,25,25,26,24,24,26,25,26,0,0,0,1,0,0,0,0,0,0,0,1,0,0
12.06.2019 21:27,22,25,25,26,26,26,26,26,26,26,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12.06.2019 21:47,22,24,26,26,26,26,25,26,25,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12.06.2019 22:07,21,24,25,24,25,24,24,26,25,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.06.2019 22:27,21,25,24,27,26,27,27,26,25,24,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12.06.2019 22:47,22,23,25,24,24,23,23,24,24,24,0,0,0,1,0,0,0,0,0,0,0,0,1,0
12.06.2019 23:07,22,23,23,24,24,23,23,25,24,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12.06.2019 23:27,23,24,23,26,25,26,26,25,24,23,0,0,0,1,0,0,0,0,0,1,0,0,0,0
12.06.2019 23:47,23,23,24,23,23,23,23,24,23,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1
13.06.2019 0:07,22,22,23,23,23,23,23,23,23,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13.06.2019 0:27,22,22,22,22,23,22,22,23,23,23,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13.06.2019 0:47,22,22,22,23,23,22,22,23,23,23,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13.06.2019 1:07,22,22,22,22,23,22,22,23,23,23,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13.06.2019 1:27,21,22,22,22,23,22,22,23,23,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.06.2019 1:47,22,22,22,23,22,22,22,23,23,23,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13.06.2019 2:07,22,22,22,22,22,22,22,23,23,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0
13.06.2019 2:27,23,22,22,22,23,22,22,23,23,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.06.2019 2:47,23,22,22,22,22,22,22,23,22,23,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13.06.2019 3:07,22,21,22,22,22,22,22,22,22,22,0,1,0,0,0,0,0,0,0,0,0,0,0,1
13.06.2019 3:27,23,21,21,21,22,21,22,22,22,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13.06.2019 3:47,22,22,21,21,22,21,21,23,22,22,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13.06.2019 4:07,23,22,22,22,22,22,22,23,22,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13.06.2019 4:27,23,22,22,22,22,22,22,23,22,22,0,0,0,0,0,0,1,0,1,0,0,0,0,0
13.06.2019 4:47,23,22,22,22,22,22,22,23,22,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.06.2019 5:07,23,22,22,22,22,21,21,23,22,22,0,0,0,0,0,0,1,1,0,0,0,0,0,0
13.06.2019 5:27,24,22,22,22,23,22,22,23,23,23,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13.06.2019 5:47,24,21,22,22,22,22,22,22,22,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.06.2019 6:07,25,21,21,22,22,22,22,23,22,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0
13.06.2019 6:27,26,21,22,21,22,21,21,22,22,22,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13.06.2019 6:47,25,21,21,21,21,21,21,22,22,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13.06.2019 7:07,25,21,21,21,22,21,21,22,22,22,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13.06.2019 7:27,25,22,22,22,22,22,22,23,22,22,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13.06.2019 7:47,25,22,22,22,22,22,22,23,22,22,1,0,0,0,0,0,0,0,1,0,0,0,0,0
13.06.2019 8:07,25,22,22,22,23,22,22,23,22,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13.06.2019 8:27,24,22,22,22,23,22,22,23,22,23,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13.06.2019 8:47,24,22,22,22,23,22,22,23,23,23,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13.06.2019 9:07,23,22,22,23,23,22,22,23,23,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13.06.2019 9:27,24,22,23,23,22,22,22,23,22,23,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13.06.2019 9:47,24,21,22,22,22,22,22,23,22,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1
